ID,Function_outcome,Behavior_outcome,Data_outcome,F_outcome,UserRelated_outcome,predicted_pattern,pattern_frequency,predicted_positive_count,hierarchy_violation,label_errors
UC7.txt.flow_of_events.5,TP,TP,TN,TP,TN,11010,139,3,0,0
UC7.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC7.txt.postcondition,TP,TP,TN,TP,TN,11010,139,3,0,0
UC7.txt.precondition,TN,TN,TN,FP,FN,00010,8,1,0,2
UC8.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC8.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC8.txt.flow_of_events.0,TP,TP,TP,TP,TP,11111,14,5,0,0
UC8.txt.flow_of_events.1,TP,TP,FN,TP,TN,11010,139,3,0,1
UC8.txt.flow_of_events.2,TN,TN,TN,TP,FN,00010,8,1,0,1
UC8.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC8.txt.flow_of_events.4,FP,TP,TN,TP,TN,11010,139,3,0,1
UC8.txt.flow_of_events.5,TN,FP,TN,TP,FN,01010,86,2,0,2
UC8.txt.flow_of_events.6,TP,TP,FN,TP,TN,11010,139,3,0,1
UC8.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC8.txt.postcondition,TN,TP,FP,TP,TP,01111,13,4,0,1
UC8.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC8.txt.quality_requirement,TN,TP,TN,TP,TN,01010,86,2,0,0
UC9.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC9.txt.flow_of_events.0,TP,FP,TN,TP,TN,11010,139,3,0,1
UC9.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC9.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC9.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC9.txt.name,TP,TP,FP,TP,TN,11110,140,4,0,1
UC9.txt.postcondition,TN,TP,TP,TP,TN,01110,26,3,0,0
UC9.txt.quality_requirement,TN,FP,TN,FP,TN,01010,86,2,0,2
UC10.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC10.txt.description,TP,TP,FN,TP,TN,11010,139,3,0,1
UC10.txt.flow_of_events.0,TP,TP,TP,TP,TP,11111,14,5,0,0
UC10.txt.flow_of_events.1,TP,TP,FN,TP,TN,11010,139,3,0,1
UC10.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC10.txt.postcondition,TN,TP,TP,TP,TN,01110,26,3,0,0
UC10.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC11.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC11.txt.description,TP,TP,FN,TP,TN,11010,139,3,0,1
UC11.txt.flow_of_events.0,TP,FP,FP,TP,FN,11110,140,4,0,3
UC11.txt.flow_of_events.1,TP,TP,TP,TP,TN,11110,140,4,0,0
UC11.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC11.txt.postcondition,FP,TP,TP,TP,TN,11110,140,4,0,1
UC11.txt.precondition,TN,TN,TN,FP,FN,00010,8,1,0,2
UC12.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC12.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC12.txt.flow_of_events.0,TP,FN,TP,TP,TP,10111,6,4,0,1
UC12.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC12.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC12.txt.postcondition,TN,TP,TP,TP,TN,01110,26,3,0,0
UC12.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC13.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC13.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC13.txt.flow_of_events.0,TP,FP,TN,TP,FN,11010,139,3,0,2
UC13.txt.flow_of_events.1,FP,TP,TN,TP,TN,11010,139,3,0,1
UC13.txt.flow_of_events.2,TN,FP,TN,TP,FN,01010,86,2,0,2
UC13.txt.flow_of_events.3,TP,TP,FN,TP,TN,11010,139,3,0,1
UC13.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC13.txt.postcondition,TN,TP,TN,TP,TN,01010,86,2,0,0
UC13.txt.precondition,TN,TN,TN,FP,FN,00010,8,1,0,2
UC14.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC14.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC14.txt.flow_of_events.0,TP,FP,TN,TP,FN,11010,139,3,0,2
UC14.txt.flow_of_events.1,FN,TP,TN,TP,FP,01011,11,3,0,2
UC14.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC14.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC14.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC14.txt.postcondition,TN,TP,FP,TP,TN,01110,26,3,0,1
UC14.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC15.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC15.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC15.txt.flow_of_events.0,TP,FN,TP,TP,TP,10111,6,4,0,1
UC15.txt.flow_of_events.1,FP,TP,TN,TP,TN,11010,139,3,0,1
UC15.txt.flow_of_events.2,TN,FP,TN,TP,FN,01010,86,2,0,2
UC15.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC15.txt.flow_of_events.4,FP,TP,TN,TP,TN,11010,139,3,0,1
UC15.txt.flow_of_events.5,TN,FP,TN,TP,FN,01010,86,2,0,2
UC15.txt.flow_of_events.6,TP,TP,TP,TP,TN,11110,140,4,0,0
UC15.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC15.txt.postcondition,TN,TP,FP,TP,TN,01110,26,3,0,1
UC15.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC16.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC16.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC16.txt.flow_of_events.0,TP,FN,TP,TP,TP,10111,6,4,0,1
UC16.txt.flow_of_events.1,FP,TP,TN,TP,TN,11010,139,3,0,1
UC16.txt.flow_of_events.2,TN,FP,TN,TP,FN,01010,86,2,0,2
UC16.txt.flow_of_events.3,TP,TP,FP,TP,TN,11110,140,4,0,1
UC16.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC16.txt.postcondition,TN,TP,FP,TP,FN,01110,26,3,0,2
UC16.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC17.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC17.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC17.txt.flow_of_events.0,TP,TP,TP,TP,FN,11110,140,4,0,1
UC17.txt.flow_of_events.1,TP,TP,TP,TP,TN,11110,140,4,0,0
UC17.txt.flow_of_events.2,TP,TN,FN,TP,TP,10011,12,3,0,1
UC17.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC17.txt.flow_of_events.4,FP,FP,TN,TP,TP,11011,13,4,0,2
UC17.txt.flow_of_events.5,TP,TP,TN,TP,TN,11010,139,3,0,0
UC17.txt.flow_of_events.6,TN,TP,TN,TP,TN,01010,86,2,0,0
UC17.txt.flow_of_events.7,FP,FP,TN,TP,FN,11010,139,3,0,3
UC17.txt.flow_of_events.8,TP,TP,FP,TP,FN,11110,140,4,0,2
UC17.txt.name,TP,TP,FN,TP,TN,11010,139,3,0,1
UC17.txt.postcondition,FN,TP,TN,TP,TN,01010,86,2,0,1
UC17.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC18.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC18.txt.flow_of_events.0,TP,TP,TP,TP,TN,11110,140,4,0,0
UC18.txt.flow_of_events.1,FP,TP,TN,TP,TN,11010,139,3,0,1
UC18.txt.flow_of_events.2,FP,FP,TN,TP,FN,11010,139,3,0,3
UC18.txt.flow_of_events.3,FN,TP,TN,TP,TN,01010,86,2,0,1
UC18.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC18.txt.postcondition,TN,TP,TN,TP,FN,01010,86,2,0,1
UC18.txt.precondition,FP,TN,TN,FP,TP,10011,12,3,0,2
UC19.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC19.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC19.txt.flow_of_events.0,TP,TP,TP,TP,TP,11111,14,5,0,0
UC19.txt.flow_of_events.1,TP,TP,TP,TP,TN,11110,140,4,0,0
UC19.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC19.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC19.txt.flow_of_events.4,TN,FP,TN,TP,FN,01010,86,2,0,2
UC19.txt.flow_of_events.5,TP,TP,TN,TP,TN,11010,139,3,0,0
UC19.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC19.txt.postcondition,FN,TP,TN,TP,TN,01010,86,2,0,1
UC19.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC20.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC20.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC20.txt.flow_of_events.0,TP,TP,TP,TP,FN,11110,140,4,0,1
UC20.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC20.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC20.txt.flow_of_events.3,TP,TP,FP,TP,TN,11110,140,4,0,1
UC20.txt.flow_of_events.4,TN,TP,TN,TP,TN,01010,86,2,0,0
UC20.txt.flow_of_events.5,FP,FP,TN,TP,FN,11010,139,3,0,3
UC20.txt.flow_of_events.6,FN,TP,TN,TP,TN,01010,86,2,0,1
UC20.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC20.txt.postcondition,TN,TP,FP,TP,TP,01111,13,4,0,1
UC20.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC21.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC21.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC21.txt.flow_of_events.0,TP,FP,TN,TP,FN,11010,139,3,0,2
UC21.txt.flow_of_events.1,FN,TP,TN,TP,TN,01010,86,2,0,1
UC21.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC21.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC21.txt.flow_of_events.4,FP,TP,TN,TP,TN,11010,139,3,0,1
UC21.txt.flow_of_events.5,FP,FP,TN,TP,FN,11010,139,3,0,3
UC21.txt.flow_of_events.6,TP,TP,TP,TP,TN,11110,140,4,0,0
UC21.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC21.txt.postcondition,FN,TP,FP,TP,TP,01111,13,4,0,2
UC21.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC22.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC22.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC22.txt.flow_of_events.0,TP,FP,FP,TP,FN,11110,140,4,0,3
UC22.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC22.txt.flow_of_events.2,TN,TN,FN,TP,TP,00011,28,2,0,1
UC22.txt.flow_of_events.3,FP,TP,TN,TP,TN,11010,139,3,0,1
UC22.txt.flow_of_events.4,FP,FP,TN,TP,FN,11010,139,3,0,3
UC22.txt.flow_of_events.5,TP,TP,TP,TP,TN,11110,140,4,0,0
UC22.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC22.txt.postcondition,FN,TP,FP,TP,TP,01111,13,4,0,2
UC22.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC23.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC23.txt.description,FN,TP,TP,TP,TN,01110,26,3,0,1
UC23.txt.flow_of_events.0,TP,FP,FP,TP,FN,11110,140,4,0,3
UC23.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC23.txt.flow_of_events.2,TN,TN,FN,TP,TP,00011,28,2,0,1
UC23.txt.flow_of_events.3,TP,TP,TP,TP,TN,11110,140,4,0,0
UC23.txt.flow_of_events.4,TN,TN,TN,TP,FN,00010,8,1,0,1
UC23.txt.flow_of_events.5,TP,TP,TN,TP,TN,11010,139,3,0,0
UC23.txt.flow_of_events.6,FP,TP,TN,TP,TN,11010,139,3,0,1
UC23.txt.flow_of_events.7,FP,FP,TN,TP,FN,11010,139,3,0,3
UC23.txt.flow_of_events.8,TP,TP,FP,TP,TN,11110,140,4,0,1
UC23.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC23.txt.postcondition,FN,TP,FP,TP,TP,01111,13,4,0,2
UC23.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC24.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC24.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC24.txt.flow_of_events.0,TP,TP,TP,TP,TP,11111,14,5,0,0
UC24.txt.flow_of_events.1,TP,TP,FN,TP,TN,11010,139,3,0,1
UC24.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC24.txt.postcondition,TN,TP,TP,TP,TN,01110,26,3,0,0
UC24.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC25.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC25.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC25.txt.flow_of_events.0,TP,FP,FP,TP,FN,11110,140,4,0,3
UC25.txt.flow_of_events.1,TP,TP,TP,TP,TN,11110,140,4,0,0
UC25.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC25.txt.flow_of_events.3,TP,TP,TP,TP,FN,11110,140,4,0,1
UC25.txt.flow_of_events.4,TP,TP,TN,TP,TN,11010,139,3,0,0
UC25.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC25.txt.postcondition,TN,TP,TP,TP,TN,01110,26,3,0,0
UC25.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC26.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC26.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC26.txt.flow_of_events.0,TP,TP,TP,TP,TP,11111,14,5,0,0
UC26.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC26.txt.flow_of_events.2,TN,TN,FN,TP,TP,00011,28,2,0,1
UC26.txt.flow_of_events.3,TP,TP,FP,TP,TN,11110,140,4,0,1
UC26.txt.flow_of_events.4,FP,FP,TN,TP,FN,11010,139,3,0,3
UC26.txt.flow_of_events.5,TP,TP,TN,TP,TN,11010,139,3,0,0
UC26.txt.flow_of_events.6,FP,TP,TN,TP,TN,11010,139,3,0,1
UC26.txt.flow_of_events.7,TN,FP,TN,TP,FN,01010,86,2,0,2
UC26.txt.flow_of_events.8,FN,TP,TN,TP,TN,01010,86,2,0,1
UC26.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC26.txt.postcondition,TN,TP,TP,TP,TP,01111,13,4,0,0
UC26.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC27.txt.description,TP,TP,FP,TP,TN,11110,140,4,0,1
UC27.txt.flow_of_events.0,TP,FP,FP,TP,FN,11110,140,4,0,3
UC27.txt.flow_of_events.1,TP,TP,TN,TP,TP,11011,13,4,0,0
UC27.txt.name,TP,TP,FP,TP,TN,11110,140,4,0,1
UC27.txt.postcondition,TN,TP,TP,TP,TN,01110,26,3,0,0
UC27.txt.quality_requirement,TN,FP,TN,FP,TN,01010,86,2,0,2
UC28.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC28.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC28.txt.flow_of_events.0,TP,FP,TN,TP,FN,11010,139,3,0,2
UC28.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC28.txt.flow_of_events.2,FP,TN,FN,TP,TP,10011,12,3,0,2
UC28.txt.flow_of_events.3,TP,TP,TP,TP,TN,11110,140,4,0,0
UC28.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC28.txt.postcondition,TP,TP,FN,TP,TN,11010,139,3,0,1
UC28.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC29.txt.description,TN,FP,FN,TP,TP,01011,11,3,0,2
UC29.txt.flow_of_events.0,FP,TP,TN,TP,TN,11010,139,3,0,1
UC29.txt.flow_of_events.1,FP,FP,TN,TP,FN,11010,139,3,0,3
UC29.txt.flow_of_events.2,FN,TP,TN,TP,TN,01010,86,2,0,1
UC29.txt.name,TP,TP,FN,TP,TN,11010,139,3,0,1
UC29.txt.postcondition,TN,TP,TN,TP,FN,01010,86,2,0,1
UC29.txt.precondition,TN,FP,TN,FP,TP,01011,11,3,0,2
UC30.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC30.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC30.txt.flow_of_events.0,TP,FP,FP,TP,FN,11110,140,4,0,3
UC30.txt.flow_of_events.1,TP,TP,FN,TP,TN,11010,139,3,0,1
UC30.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC30.txt.flow_of_events.3,TP,TP,TP,TP,TN,11110,140,4,0,0
UC30.txt.flow_of_events.4,TN,TN,TN,TN,TN,00000,7,0,0,0
UC30.txt.flow_of_events.5,FP,TP,TN,TP,TN,11010,139,3,0,1
UC30.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC30.txt.postcondition,TN,TP,FN,TP,TN,01010,86,2,0,1
UC30.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC31.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC31.txt.description,TP,TN,FN,TP,TP,10011,12,3,0,1
UC31.txt.flow_of_events.0,TP,TN,TN,TP,TP,10011,12,3,0,0
UC31.txt.flow_of_events.1,FN,TP,TN,TP,FN,01010,86,2,0,2
UC31.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC31.txt.postcondition,TN,TP,TN,TP,TN,01010,86,2,0,0
UC31.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC32.txt.description,TN,FN,TN,TP,TP,00011,28,2,0,1
UC32.txt.flow_of_events.0,FP,TP,TN,TP,TN,11010,139,3,0,1
UC32.txt.flow_of_events.1,FP,FP,TN,TP,FN,11010,139,3,0,3
UC32.txt.flow_of_events.2,FP,TP,TN,TP,TP,11011,13,4,0,1
UC32.txt.name,TP,TP,FP,TP,TN,11110,140,4,0,1
UC32.txt.postcondition,TN,TP,TN,TP,FN,01010,86,2,0,1
UC32.txt.precondition,TN,TN,TN,FP,TP,00011,28,2,0,1
UC33.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC33.txt.description,TN,FP,TN,FP,TN,01010,86,2,0,2
UC33.txt.flow_of_events.0,TP,FP,TN,TP,FN,11010,139,3,0,2
UC33.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC33.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC33.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC33.txt.flow_of_events.4,FP,TP,TN,TP,TN,11010,139,3,0,1
UC33.txt.flow_of_events.5,TN,FP,TN,TP,FN,01010,86,2,0,2
UC33.txt.flow_of_events.6,TP,TP,FN,TP,TN,11010,139,3,0,1
UC33.txt.name,TP,TP,FP,TP,TN,11110,140,4,0,1
UC33.txt.postcondition,TP,TP,TN,TP,TP,11011,13,4,0,0
UC33.txt.precondition,FP,TN,TN,TN,TP,10001,1,2,1,1
UC34.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC34.txt.description,TP,FN,TP,TP,TN,10110,5,3,0,1
UC34.txt.flow_of_events.0,TP,FP,TN,TP,FN,11010,139,3,0,2
UC34.txt.flow_of_events.1,FN,TP,TN,TP,TN,01010,86,2,0,1
UC34.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC34.txt.flow_of_events.3,TN,TP,FN,TP,FP,01011,11,3,0,2
UC34.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC34.txt.postcondition,TN,TP,TP,TP,TN,01110,26,3,0,0
UC34.txt.precondition,TN,TN,TN,FP,TP,00011,28,2,0,1
UC35.txt.actor,TN,FP,TN,FP,TP,01011,11,3,0,2
UC35.txt.description,FP,TP,TN,TP,TN,11010,139,3,0,1
UC35.txt.flow_of_events.0,TP,FP,TN,TP,FN,11010,139,3,0,2
UC35.txt.flow_of_events.1,FN,TP,TN,TP,TN,01010,86,2,0,1
UC35.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC35.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC35.txt.name,FN,FN,FP,TP,TN,00110,1,2,0,3
UC35.txt.postcondition,TN,TP,FP,TP,TP,01111,13,4,0,1
UC35.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC36.txt.description,TN,TN,TN,TN,TN,00000,7,0,0,0
UC36.txt.flow_of_events.0,TP,TP,TN,TP,TN,11010,139,3,0,0
UC36.txt.flow_of_events.1,FP,FP,TN,TP,FN,11010,139,3,0,3
UC36.txt.flow_of_events.2,FN,TP,TN,TP,TN,01010,86,2,0,1
UC36.txt.name,TP,TP,TN,TP,TN,11010,139,3,0,0
UC36.txt.postcondition,TN,TP,TN,TP,FN,01010,86,2,0,1
UC36.txt.precondition,TN,TN,TN,TN,FN,00000,7,0,0,1
UC37.txt.actor,TN,FP,TN,FP,TP,01011,11,3,0,2
UC37.txt.description,FN,TP,FP,TP,TN,01110,26,3,0,2
UC37.txt.flow_of_events.0,TP,FP,TN,TP,FN,11010,139,3,0,2
UC37.txt.flow_of_events.1,FP,TP,TN,TP,TN,11010,139,3,0,1
